Sr No,Security Check Name,Category,Tool/Technology/API Used,Pass/Fail Conditions,Depth Assessment,Cost (Free/Paid),Gaps/Recommendations
1,Heartbleed Vulnerability,Network Security,Node.js TLS/Axios HTTPS requests,"PASS: TLS connection to port 443 completes successfully with status 200-399 response | FAIL: TLS connection throws specific error containing 'ECONNRESET', 'EPROTO', or timeout indicating potential Heartbleed | INFO: Unable to establish connection for testing",Simplified - Only checks basic TLS connection,Free,Should implement actual Heartbleed exploit test using dedicated CVE scanners like OpenVAS or Nessus
2,POODLE Vulnerability,Network Security,Node.js TLS/Axios HTTPS requests,"PASS: HTTPS GET request succeeds without SSLv3-related errors | FAIL: Connection fails with SSL3_GET_RECORD errors or protocol downgrade detected | INFO: Unable to test due to connection issues",Simplified - Only checks basic TLS connection,Free,Should implement SSLv3 protocol testing and cipher suite analysis
3,FREAK Vulnerability,Network Security,Node.js TLS/Axios HTTPS requests,"PASS: TLS handshake completes without export-grade cipher negotiation | FAIL: Connection fails with export cipher related errors or weak encryption detected | INFO: Unable to complete vulnerability assessment",Simplified - Only checks basic TLS connection,Free,Should implement export-grade cipher detection and protocol downgrade testing
4,Logjam Vulnerability,Network Security,Node.js TLS/Axios HTTPS requests,"PASS: TLS connection succeeds without DHE_RSA key exchange vulnerabilities | FAIL: Weak Diffie-Hellman parameters detected or connection fails with DH-related errors | INFO: Vulnerability test inconclusive",Simplified - Only checks basic TLS connection,Free,Should implement DH parameter strength testing and weak prime detection
5,Server Information Header,Application Security,Axios HTTP Headers,"PASS: HTTP response headers['server'] is undefined/null/empty | FAIL: 'Server' header present with value (e.g., 'Apache/2.4.41', 'nginx/1.18.0', 'Microsoft-IIS/10.0') exposing server technology and version",Deep enough - checks HTTP response headers,Free,Add checks for version disclosure in server headers and fingerprinting resistance
6,X-Powered-By Header,Application Security,Axios HTTP Headers,"PASS: HTTP response headers['x-powered-by'] is undefined/null/empty | FAIL: 'X-Powered-By' header present with technology disclosure (e.g., 'PHP/7.4.3', 'ASP.NET', 'Express') revealing backend technology stack",Deep enough - checks HTTP response headers,Free,Add detection of other technology disclosure headers (X-AspNet-Version etc.)
7,Referrer Policy Header,Application Security,Axios HTTP Headers,"PASS: headers['referrer-policy'] !== 'unsafe-url' (including undefined, 'strict-origin', 'no-referrer') | FAIL: headers['referrer-policy'] === 'unsafe-url' which sends full URL in referrer to all destinations",Simplified - only checks for unsafe-url,Free,Should validate all referrer policy values and recommend secure configurations
8,ASP.NET Version Headers,Application Security,Axios HTTP Headers,"PASS: All ASP.NET headers (X-AspNet-Version, X-AspNetMvc-Version, X-Powered-By: ASP.NET) are absent from response | FAIL: Any ASP.NET version header present revealing framework version (e.g., 'X-AspNet-Version: 4.0.30319')",Deep enough - checks specific ASP.NET headers,Free,Add detection of other framework version disclosures
9,Domain Expiration,DNS Health,WHOIS data via whois-json package,"PASS: Domain expiry date > 30 days from current date | WARNING: Domain expires between 7-30 days | FAIL: Domain expires in <7 days or expiry date parsing fails | Calculated as: (expiryDate - Date.now()) / (1000*60*60*24) days",Deep enough - uses official WHOIS data,Free,Add monitoring for registrar protection and auto-renewal status
10,HTTPS Support,Network Security,Axios HTTPS request,"PASS: axios.get(`https://${domain}`) returns status 200-399 within 5s timeout | FAIL: HTTPS request throws ENOTFOUND, ECONNREFUSED, certificate errors, or times out indicating no HTTPS support",Simplified - basic connectivity test,Free,Should test TLS version support and cipher suite preferences
